# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AARD	AARD	NM_001025357.3	protein_coding	0	0	1	10	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABRA	ABRA	NM_139166.5	protein_coding	0	4	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
ADAM18	ADAM18	NM_001190956.2	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2
ADAM18	ADAM18	NM_001320313.2	protein_coding	0	2	0	31	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	1	2
ADAM18	ADAM18	NM_014237.3	protein_coding	0	2	0	31	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	1	2
ADAM18	ADAM18	NR_135201.2		0	1	0	32	0	0	0	0	0	0	0	0	0	30	0	1	0	0	0	1	0	0	0	0	0	2
ADAM2	ADAM2	NM_001278113.2	protein_coding	0	1	4	18	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	2	0	0	0	0	0	1
ADAM2	ADAM2	NM_001278114.2	protein_coding	0	1	4	18	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	2	0	0	0	0	0	1
ADAM2	ADAM2	NM_001464.5	protein_coding	0	1	4	18	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	2	0	0	0	0	0	1
ADAM28	ADAM28	NM_001304351.2	protein_coding	0	1	0	23	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0	0	0	0	0
ADAM28	ADAM28	NM_014265.6	protein_coding	0	2	1	21	2	0	0	0	0	0	0	0	0	21	1	0	0	0	0	2	0	0	0	0	0	0
ADAM28	ADAM28	NM_021777.4	protein_coding	0	0	0	13	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
